corpus_row_id,module,source_lesson_node_id,source_lesson_id,source_lesson_title,source_assignment_date,source_path,prerequisite_text,normalized_text,prerequisite_type,physics_topics,math_subtypes,prerequisite_depth,atomicity,mapping_status,direct_match_count,primary_target_node_id,primary_target_lesson_id,primary_target_lesson_title,primary_target_module,primary_target_assignment_date,primary_target_path,temporal_relation,match_confidence,match_basis,match_evidence,candidate_rank,candidate_score,top_unaccepted_candidate_title,top_unaccepted_candidate_path,top_unaccepted_candidate_score,review_scope,cycle_flag,future_review_flag
P212-0385,M2,212-M2-034,212-M2-034,Mechanical Energy Lost When Rotating Cups Capture Rain,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-4.md,Point-mass moment of inertia: $I=mr^2$,point-mass moment of inertia: i=mr^2,"Physics concept, law, or relation",Moment of inertia,,D3,Atomic,direct-match,1,212-M2-007,212-M2-007,Comparing Moment of Inertia From Mass Distribution,M2,2026-07-08,/Users/jake/Developer/study/vault/212/M2/2026-07-08-M2-2/Lessons/Problem-1.md,earlier,High,worked_move_equivalent,The lesson constructs moment of inertia from m r squared point-mass terms.,2,0.3678,,,,semantically-reviewed,false,false
P212-0386,M2,212-M2-034,212-M2-034,Mechanical Energy Lost When Rotating Cups Capture Rain,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-4.md,Conservation of angular momentum when external torque is negligible,conservation of angular momentum when external torque is negligible,"Physics concept, law, or relation",Torque and equilibrium | Energy and momentum | Rolling and angular momentum,,D3,Atomic,direct-match,1,212-M2-033,212-M2-033,Angular Speed After Rotating Cups Collect Rain,M2,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-3.md,same-date,High,concept_equivalent,The lesson conserves I omega because external torque about the rotation axis is negligible.,1,0.3667,,,,semantically-reviewed,false,false
P212-0387,M2,212-M2-035,212-M2-035,Finding Angular Speed After a Bullet Embeds in a Rotor,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-5.md,Use $L=I\omega$ for a rigid body rotating about a fixed axis.,use l=i\omega for a rigid body rotating about a fixed axis,"Physics concept, law, or relation",Circular and rotational motion,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Angular Speed After Rotating Cups Collect Rain,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-3.md,0.2647,algorithmic-screen-only,false,true
P212-0388,M2,212-M2-035,212-M2-035,Finding Angular Speed After a Bullet Embeds in a Rotor,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-5.md,Use $L=mvb$ for a particle whose line of motion has perpendicular distance $b$ from an axis.,use l=mvb for a particle whose line of motion has perpendicular distance b from an axis,Mathematical technique,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Inferring Particle Motion From a Traveling-Wave Snapshot,/Users/jake/Developer/study/vault/212/M5/2026-07-23-M5-1/Lessons/Problem-5.md,0.2245,algorithmic-screen-only,false,true
P212-0389,M2,212-M2-035,212-M2-035,Finding Angular Speed After a Bullet Embeds in a Rotor,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-5.md,Recall $I=\frac12Mr^2$ for a solid uniform cylinder about its central axis.,recall i=\frac12mr^2 for a solid uniform cylinder about its central axis,"Physics concept, law, or relation",Moment of inertia,,D1,Atomic,direct-match,1,212-M2-016,212-M2-016,Finding an Unknown Mass in Rigidly Attached Cylinders,M2,2026-07-09,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-6.md,earlier,High,worked_move_equivalent,The lesson explicitly uses one half M R squared for each solid cylinder.,6,0.2306,,,,semantically-reviewed,false,false
P212-0390,M2,212-M2-035,212-M2-035,Finding Angular Speed After a Bullet Embeds in a Rotor,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-5.md,Round a final result to the significant figures supported by measured data.,round a final result to the significant figures supported by measured data,Measurement and computation,,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Balancing a Rod and Sphere About a Support,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-6.md,0.1514,algorithmic-screen-only,false,true
P212-0391,M2,212-M2-036,212-M2-036,Predicting Angular Speed When Mass Is Added,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-6/Lessons/Problem-1.md,Use the relation $L=I\omega$ for rotation about a fixed axis.,use the relation l=i\omega for rotation about a fixed axis,"Physics concept, law, or relation",Circular and rotational motion,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Angular Acceleration Direction While Stopping,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,0.2906,algorithmic-screen-only,false,true
P212-0392,M2,212-M2-036,212-M2-036,Predicting Angular Speed When Mass Is Added,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-6/Lessons/Problem-1.md,Recognize that mass farther from a rotation axis contributes to moment of inertia.,recognize that mass farther from a rotation axis contributes to moment of inertia,Representation and spatial literacy,Circular and rotational motion | Moment of inertia,,D3,Atomic,direct-match,1,212-M2-007,212-M2-007,Comparing Moment of Inertia From Mass Distribution,M2,2026-07-08,/Users/jake/Developer/study/vault/212/M2/2026-07-08-M2-2/Lessons/Problem-1.md,earlier,High,concept_equivalent,The lesson's core comparison shows that moving mass farther from the axis increases moment of inertia.,1,0.4215,,,,semantically-reviewed,false,false
P212-0393,M2,212-M2-036,212-M2-036,Predicting Angular Speed When Mass Is Added,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-6/Lessons/Problem-1.md,Compare positive quantities using a ratio.,compare positive quantities using a ratio,Mathematical technique,,Ratios and proportional reasoning,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Convert an Intensity Ratio into a Decibel Change,/Users/jake/Developer/study/vault/212/M5/2026-08-02-PQ-3/Lessons/Problem-2.md,0.2406,algorithmic-screen-only,false,true
P212-0394,M2,212-M2-037,212-M2-037,Comparing Rolling Objects on an Incline,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-1.md,Apply Newton's second law along an incline.,apply newton's second law along an incline,Integrated modeling schema,Forces and Newtonian dynamics,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Turn Applied Forces into Angular Acceleration,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Group-3-Torque-and-Rotational-Dynamics.md,0.1921,algorithmic-screen-only,false,true
P212-0395,M2,212-M2-037,212-M2-037,Comparing Rolling Objects on an Incline,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-1.md,Use $\tau=I\alpha$ and the rolling-without-slipping condition $a=\alpha r$.,use \tau=i\alpha and the rolling-without-slipping condition a=\alpha r,Integrated modeling schema,Circular and rotational motion | Torque and equilibrium,,D2,Compound,direct-match,1,212-M2-038,212-M2-038,Time for a Solid Cylinder to Roll Down a Ramp,M2,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-2.md,same-date,High,worked_move_equivalent,The lesson combines tau equals I alpha with a equals alpha r to solve rolling acceleration.,5,0.2701,,,,semantically-reviewed,true,true
P212-0396,M2,212-M2-037,212-M2-037,Comparing Rolling Objects on an Incline,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-1.md,Recognize $I=\frac12mr^2$ for a uniform solid cylinder.,recognize i=\frac12mr^2 for a uniform solid cylinder,"Physics concept, law, or relation",Moment of inertia,,D1,Atomic,direct-match,1,212-M2-016,212-M2-016,Finding an Unknown Mass in Rigidly Attached Cylinders,M2,2026-07-09,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-6.md,earlier,High,worked_move_equivalent,The lesson builds solid-cylinder inertias with the exact one-half m r squared formula.,5,0.2823,,,,semantically-reviewed,false,false
P212-0397,M2,212-M2-037,212-M2-037,Comparing Rolling Objects on an Incline,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-1.md,Use $L=\frac12at^2$ for motion from rest with constant acceleration.,use l=\frac12at^2 for motion from rest with constant acceleration,"Physics concept, law, or relation",Kinematics,,D2,Atomic,no-direct-match-after-review,0,,,,,,,,,,,,,Acceleration in Constant-Speed Circular Motion,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-1.md,0.3418,candidate-set-semantically-reviewed,false,true
P212-0398,M2,212-M2-038,212-M2-038,Time for a Solid Cylinder to Roll Down a Ramp,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-2.md,Newton's second law for translation and rotation,newton's second law for translation and rotation,Integrated modeling schema,Circular and rotational motion | Forces and Newtonian dynamics,,D5,Compound,no-strong-candidate,0,,,,,,,,,,,,,Choosing the Rotation Axis After an Off-Center Collision,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-7.md,0.2557,algorithmic-screen-only,false,true
P212-0399,M2,212-M2-038,212-M2-038,Time for a Solid Cylinder to Roll Down a Ramp,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-2.md,The solid-cylinder moment of inertia $I=\frac12 mr^2$,the solid-cylinder moment of inertia i=\frac12 mr^2,"Physics concept, law, or relation",Moment of inertia,,D3,Atomic,direct-match,1,212-M2-016,212-M2-016,Finding an Unknown Mass in Rigidly Attached Cylinders,M2,2026-07-09,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-6.md,earlier,High,worked_move_equivalent,The lesson repeatedly applies one half m r squared to solid cylinders.,4,0.3135,,,,semantically-reviewed,false,false
P212-0400,M2,212-M2-038,212-M2-038,Time for a Solid Cylinder to Roll Down a Ramp,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-2.md,The rolling-without-slipping relation $a=\alpha r$,the rolling-without-slipping relation a=\alpha r,"Physics concept, law, or relation",Circular and rotational motion,,D3,Atomic,direct-match,1,212-M2-037,212-M2-037,Comparing Rolling Objects on an Incline,M2,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-1.md,same-date,High,worked_move_equivalent,The lesson derives rolling acceleration using the no-slip relation a equals alpha r.,1,0.3406,,,,semantically-reviewed,true,true
P212-0401,M2,212-M2-038,212-M2-038,Time for a Solid Cylinder to Roll Down a Ramp,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-2.md,Constant-acceleration kinematics from rest,constant-acceleration kinematics from rest,"Physics concept, law, or relation",Kinematics,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Acceleration in Constant-Speed Circular Motion,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-1.md,0.2972,algorithmic-screen-only,false,true
P212-0402,M2,212-M2-038,212-M2-038,Time for a Solid Cylinder to Roll Down a Ramp,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-2.md,Right-triangle sine: $\sin\theta=\frac{h}{L}$,right-triangle sine: \sin\theta=hl,Mathematical technique,,Geometry and trigonometry,D2,Atomic,direct-match,1,212-M2-032,212-M2-032,Speed of a Rolling Hollow Sphere From Energy,M2,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-2.md,earlier,High,worked_move_equivalent,The lesson explicitly finds vertical drop with sine as opposite over hypotenuse.,,,,,,semantically-reviewed,false,false
P212-0403,M2,212-M2-039,212-M2-039,Speed of a Rolling Solid Cylinder From Energy,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-3.md,Gravitational potential energy: $U_g=mgh$,gravitational potential energy: ug=mgh,"Physics concept, law, or relation",Energy and momentum,,D2,Atomic,direct-match,1,212-M2-040,212-M2-040,Total Kinetic Energy From a Loss of Height,M2,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-4.md,same-date,High,worked_move_equivalent,The lesson directly converts a vertical height loss to gravitational energy m g h.,3,0.2674,,,,semantically-reviewed,true,true
P212-0404,M2,212-M2-039,212-M2-039,Speed of a Rolling Solid Cylinder From Energy,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-3.md,Translational kinetic energy: $K_{\mathrm{trans}}=\frac12mv^2$,translational kinetic energy: ktrans=\frac12mv^2,"Physics concept, law, or relation",Energy and momentum,,D2,Atomic,direct-match,1,212-M2-032,212-M2-032,Speed of a Rolling Hollow Sphere From Energy,M2,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-2.md,earlier,High,worked_move_equivalent,The rolling-energy equation explicitly contains translational kinetic energy one half m v squared.,3,0.2418,,,,semantically-reviewed,true,true
P212-0405,M2,212-M2-039,212-M2-039,Speed of a Rolling Solid Cylinder From Energy,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-3.md,Rotational kinetic energy: $K_{\mathrm{rot}}=\frac12I\omega^2$,rotational kinetic energy: krot=\frac12i\omega^2,"Physics concept, law, or relation",Circular and rotational motion | Energy and momentum,,D2,Atomic,direct-match,1,212-M2-023,212-M2-023,Comparing Rotational Kinetic Energies About Parallel Axes,M2,2026-07-12,/Users/jake/Developer/study/vault/212/M2/2026-07-12-HW-3/Lessons/Problem-7.md,earlier,High,worked_move_equivalent,The lesson directly applies rotational kinetic energy one half I omega squared.,3,0.3122,,,,semantically-reviewed,true,true
P212-0406,M2,212-M2-039,212-M2-039,Speed of a Rolling Solid Cylinder From Energy,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-3.md,Rolling without slipping: $v=\omega R$,rolling without slipping: v=\omega r,"Physics concept, law, or relation",Circular and rotational motion | Rolling and angular momentum,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Comparing the Speeds of Rolling Objects,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Problem-2.md,0.2748,algorithmic-screen-only,false,true
P212-0407,M2,212-M2-040,212-M2-040,Total Kinetic Energy From a Loss of Height,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-4.md,Gravitational potential energy near Earth's surface: $U_g=mgy$,gravitational potential energy near earth's surface: ug=mgy,"Physics concept, law, or relation",Energy and momentum,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Gravitational Potential Energy of a Three-Body System,/Users/jake/Developer/study/vault/212/M3/2026-07-17-HW-5/Lessons/Problem-8.md,0.2666,algorithmic-screen-only,false,true
P212-0408,M2,212-M2-040,212-M2-040,Total Kinetic Energy From a Loss of Height,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-4.md,Conservation of mechanical energy when dissipative losses are negligible,conservation of mechanical energy when dissipative losses are negligible,"Physics concept, law, or relation",Energy and momentum,,D1,Atomic,direct-match,1,212-M1-063,212-M1-063,Testing Loop-the-Loop Statements,M1,2026-07-03,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-10.md,earlier,High,concept_equivalent,The lesson invokes mechanical-energy conservation specifically under neglected friction.,7,0.1769,,,,semantically-reviewed,false,false
P212-0409,M2,212-M2-040,212-M2-040,Total Kinetic Energy From a Loss of Height,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-4.md,Translational and rotational kinetic energy are both parts of total kinetic energy,translational and rotational kinetic energy are both parts of total kinetic energy,"Physics concept, law, or relation",Circular and rotational motion | Energy and momentum,,D2,Atomic,direct-match,1,212-M2-032,212-M2-032,Speed of a Rolling Hollow Sphere From Energy,M2,2026-07-14,/Users/jake/Developer/study/vault/212/M2/2026-07-14-M2-5/Lessons/Problem-2.md,earlier,High,concept_equivalent,The lesson teaches total rolling kinetic energy as the sum of translational and rotational parts.,3,0.3105,,,,semantically-reviewed,true,true
P212-0410,M2,212-M2-041,212-M2-041,Acceleration of a Yo-Yo Pulled at Its Axle,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-5.md,Translational Newton's second law: $\sum F_x=Ma$,translational newton's second law: \sum fx=ma,"Physics concept, law, or relation",Forces and Newtonian dynamics,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Turn Applied Forces into Angular Acceleration,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Group-3-Torque-and-Rotational-Dynamics.md,0.1838,algorithmic-screen-only,false,true
P212-0411,M2,212-M2-041,212-M2-041,Acceleration of a Yo-Yo Pulled at Its Axle,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-5.md,Rotational Newton's second law about the center of mass: $\sum\tau_{\mathrm{CM}}=I\alpha$,rotational newton's second law about the center of mass: \sum\taucm=i\alpha,"Physics concept, law, or relation",Circular and rotational motion | Forces and Newtonian dynamics | Center of mass and density | Torque and equilibrium,,D3,Atomic,direct-match,1,212-M2-015,212-M2-015,Finding a Spool's Angular Acceleration From Tension,M2,2026-07-09,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-5.md,earlier,High,worked_move_equivalent,The lesson applies rotational Newton's second law about the spool's central axle.,2,0.3049,,,,semantically-reviewed,false,false
P212-0412,M2,212-M2-041,212-M2-041,Acceleration of a Yo-Yo Pulled at Its Axle,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-5.md,The uniform-cylinder moment of inertia: $I=\frac12MR^2$,the uniform-cylinder moment of inertia: i=\frac12mr^2,"Physics concept, law, or relation",Moment of inertia,,D3,Atomic,direct-match,1,212-M2-016,212-M2-016,Finding an Unknown Mass in Rigidly Attached Cylinders,M2,2026-07-09,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-6.md,earlier,High,worked_move_equivalent,The lesson explicitly uses one half M R squared for a uniform solid cylinder.,2,0.3538,,,,semantically-reviewed,false,false
P212-0413,M2,212-M2-041,212-M2-041,Acceleration of a Yo-Yo Pulled at Its Axle,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-5.md,The rolling-without-slipping constraint,the rolling-without-slipping constraint,Model condition or reference choice,,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Connect Rolling Motion to Angular-Momentum Conservation,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Group-5-Rolling-and-Angular-Momentum.md,0.2627,algorithmic-screen-only,false,true
P212-0414,M2,212-M2-042,212-M2-042,Balancing a Rod and Sphere About a Support,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-6.md,The weight of an object of mass $M$ is $Mg$.,the weight of an object of mass m is mg,"Physics concept, law, or relation",Forces and Newtonian dynamics,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Center of Mass of Two Point Masses,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,0.2907,algorithmic-screen-only,false,true
P212-0415,M2,212-M2-042,212-M2-042,Balancing a Rod and Sphere About a Support,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-6.md,A uniform rod's center of mass is at its midpoint.,a uniform rod's center of mass is at its midpoint,"Physics concept, law, or relation",Center of mass and density,Geometry and trigonometry,D2,Atomic,direct-match,1,212-M2-010,212-M2-010,Moment of Inertia About an Off-Center Rod Pivot,M2,2026-07-08,/Users/jake/Developer/study/vault/212/M2/2026-07-08-M2-2/Lessons/Problem-4.md,earlier,High,concept_equivalent,The lesson locates a uniform rod's center of mass at L over two from an end.,,,,,,semantically-reviewed,true,true
P212-0416,M2,212-M2-042,212-M2-042,Balancing a Rod and Sphere About a Support,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-6.md,The magnitude of a torque is $\tau=r_\perp F$.,the magnitude of a torque is \tau=r\perp f,"Physics concept, law, or relation",Torque and equilibrium,,D3,Atomic,direct-match,1,212-M2-011,212-M2-011,Comparing Torque Magnitudes From a Diagram,M2,2026-07-09,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-1.md,earlier,High,worked_move_equivalent,The lesson teaches torque magnitude as force times perpendicular lever arm.,2,0.4035,,,,semantically-reviewed,false,false
P212-0417,M2,212-M2-042,212-M2-042,Balancing a Rod and Sphere About a Support,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-6.md,Static equilibrium requires $\sum \tau=0$.,static equilibrium requires \sum \tau=0,"Physics concept, law, or relation",Forces and Newtonian dynamics | Torque and equilibrium,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Solve Coupled Equilibrium and Massive-Pulley Systems,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Group-4-Equilibrium-and-Massive-Pulleys.md,0.2314,algorithmic-screen-only,false,true
P212-0418,M2,212-M2-043,212-M2-043,Choosing the Rotation Axis After an Off-Center Collision,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-7.md,Interpret center of mass as a mass-weighted average position.,interpret center of mass as a mass-weighted average position,Semantic and physical interpretation,Center of mass and density,Numeracy and arithmetic | Ratios and proportional reasoning,D2,Atomic,direct-match,1,212-M2-002,212-M2-002,Center of Mass of Two Point Masses,M2,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,earlier,High,concept_equivalent,The lesson defines and practices center of mass as a mass-weighted position average.,1,0.5177,,,,semantically-reviewed,false,false
P212-0419,M2,212-M2-043,212-M2-043,Choosing the Rotation Axis After an Off-Center Collision,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-7.md,Recognize that an isolated collision conserves linear momentum and angular momentum.,recognize that an isolated collision conserves linear momentum and angular momentum,Integrated modeling schema,Energy and momentum | Rolling and angular momentum,Algebra and formula manipulation,D4,Compound,direct-match,1,212-M2-044,212-M2-044,Conservation Tests for an Off-Center Sticking Collision,M2,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-8.md,same-date,High,concept_equivalent,The lesson explicitly tests and justifies conservation of both linear and angular momentum for an isolated collision.,1,0.4254,,,,semantically-reviewed,false,false
P212-0420,M2,212-M2-043,212-M2-043,Choosing the Rotation Axis After an Off-Center Collision,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-7.md,Use $L=rp$ when the position vector and momentum are perpendicular.,use l=rp when the position vector and momentum are perpendicular,"Physics concept, law, or relation",Energy and momentum,Geometry and trigonometry | Vector mathematics,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Angular Momentum About a Combined Center of Mass,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-12.md,0.2429,algorithmic-screen-only,false,true
P212-0421,M2,212-M2-044,212-M2-044,Conservation Tests for an Off-Center Sticking Collision,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-8.md,Linear momentum: $\vec P=\sum_i m_i\vec v_i$,linear momentum: p=\sumi mi vi,"Physics concept, law, or relation",Energy and momentum,Vector mathematics,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Angular Speed from Angular Momentum,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-13.md,0.2739,algorithmic-screen-only,false,true
P212-0422,M2,212-M2-044,212-M2-044,Conservation Tests for an Off-Center Sticking Collision,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-8.md,Angular momentum of a particle about an origin $O$: $\vec L_O=\vec r_{i/O}\times\vec p_i$,angular momentum of a particle about an origin o: lo= ri/o\times pi,"Physics concept, law, or relation",Energy and momentum | Rolling and angular momentum,Vector mathematics,D3,Atomic,direct-match,1,212-M2-048,212-M2-048,Angular Momentum About a Combined Center of Mass,M2,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-12.md,same-date,High,worked_move_equivalent,The lesson computes particle angular momentum about an origin with r cross p.,1,0.3675,,,,semantically-reviewed,false,false
P212-0423,M2,212-M2-044,212-M2-044,Conservation Tests for an Off-Center Sticking Collision,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-8.md,The meaning of a perfectly inelastic collision: the objects stick together,the meaning of a perfectly inelastic collision: the objects stick together,Semantic and physical interpretation,Energy and momentum,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Mechanical-Energy Change During a Sticking Collision,/Users/jake/Developer/study/vault/212/M4/2026-07-23-HW-6/Lessons/Problem-9.md,0.2082,algorithmic-screen-only,false,true
P212-0424,M2,212-M2-045,212-M2-045,Moment of Inertia of a Rod–Ball Composite,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-9.md,Moment of inertia depends on the chosen rotation axis.,moment of inertia depends on the chosen rotation axis,"Physics concept, law, or relation",Circular and rotational motion | Moment of inertia,,D3,Atomic,direct-match,1,212-M2-007,212-M2-007,Comparing Moment of Inertia From Mass Distribution,M2,2026-07-08,/Users/jake/Developer/study/vault/212/M2/2026-07-08-M2-2/Lessons/Problem-1.md,earlier,High,concept_equivalent,The lesson teaches that moment of inertia is defined relative to a chosen axis and changes with mass-axis distance.,2,0.3826,,,,semantically-reviewed,false,false
P212-0425,M2,212-M2-045,212-M2-045,Moment of Inertia of a Rod–Ball Composite,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-9.md,"For a thin uniform rod about its center, perpendicular to the rod, $I_{\text{rod,cm}}=\dfrac{1}{12}mL^2$.","for a thin uniform rod about its center, perpendicular to the rod, irod,cm=112ml^2","Physics concept, law, or relation",Moment of inertia,Geometry and trigonometry,D2,Atomic,direct-match,1,212-M2-010,212-M2-010,Moment of Inertia About an Off-Center Rod Pivot,M2,2026-07-08,/Users/jake/Developer/study/vault/212/M2/2026-07-08-M2-2/Lessons/Problem-4.md,earlier,High,worked_move_equivalent,The lesson explicitly uses the uniform-rod center-axis inertia one twelfth m L squared.,3,0.3645,,,,semantically-reviewed,true,true
P212-0426,M2,212-M2-045,212-M2-045,Moment of Inertia of a Rod–Ball Composite,2026-07-15,/Users/jake/Developer/study/vault/212/M2/2026-07-15-HW-4/Lessons/Problem-9.md,"For a uniform solid sphere about its center, $I_{\text{sphere,cm}}=\dfrac{2}{5}MR^2$.","for a uniform solid sphere about its center, isphere,cm=25mr^2","Physics concept, law, or relation",Moment of inertia,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Uniform Thin Rod Rotating About Its Center,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Examples/M2-2-02-Uniform-Rod-About-Center.md,0.295,algorithmic-screen-only,false,true
